Food class level 1,Metrics,Concentration levels,Concentration levels
,Sea bream,2,573.44
,"Sea bream, PROCESS Cooking in water",1.1,524.729
,"Sea bream, PROCESS Steaming",1.1,524.729
,Sea-squirts and other tunicates,2,642.857
,"Sea-squirts and other tunicates, PROCESS Baking",1.5,588.292
,"Sea-squirts and other tunicates, PROCESS Cooking in water",65.8,529.59
,"Sea-squirts and other tunicates, PROCESS Frying",1.5,588.292
,"Sea-squirts and other tunicates, PROCESS Steaming",21,529.59
,Shads,11,655.103
,"Shads, PROCESS Baking",9,710.836
,"Shads, PROCESS Cooking in water",8.5,685.548
,"Shads, PROCESS Frying",9,710.836
,"Shads, PROCESS Steaming",8.5,685.548
,Sharks,38.6,571.914
,"Sharks, PROCESS Baking",43.2,405.466
,"Sharks, PROCESS Cooking in water",43.2,405.466
,"Sharks, PROCESS Frying",43.2,405.466
,"Sharks, PROCESS Steaming",43.2,405.466
,Shrimps and prawns,23,635.23
,"Shrimps and prawns, PROCESS Baking",14.3,674.304
,"Shrimps and prawns, PROCESS Cooking in water",31,702.88
,"Shrimps and prawns, PROCESS Frying",14.3,674.591
,"Shrimps and prawns, PROCESS Steaming",31,702.88
,"Shrimps, common",21.8,664.395
,"Shrimps, common, PROCESS Baking",13.4,711.894
,"Shrimps, common, PROCESS Cooking in water",49,1117.065
,"Shrimps, common, PROCESS Frying",13.4,711.894
,"Shrimps, common, PROCESS Steaming",47.78,464.125
,Smelt,3.4,663.8
,"Smelt, PROCESS Baking",3.8,716.959
,"Smelt, PROCESS Cooking in water",3.8,715.961
,"Smelt, PROCESS Frying",3.8,716.959
,"Smelt, PROCESS Steaming",3.8,715.961
,Smoked herring,42,661.2
,Smoked salmon,27,738.7
,Snails,55,751.31
,Sole,24,596.83
,"Sole, PROCESS Baking",18.5,625.091
,"Sole, PROCESS Cooking in water",52,489.41
,"Sole, PROCESS Frying",1.1,627.241
,"Sole, PROCESS Steaming",52,489.41
,Spiny and rock lobsters,130.5,813.488
,"Spiny and rock lobsters, PROCESS Baking",1.1,589.841
,"Spiny and rock lobsters, PROCESS Cooking in water",24.7,517.436
,"Spiny and rock lobsters, PROCESS Frying",0.5,859.215
,"Spiny and rock lobsters, PROCESS Steaming",0.9,517.436
,Sprat,38,704.843
,"Sprat, PROCESS Baking",9,710.836
,"Sprat, PROCESS Cooking in water",8.5,685.548
,"Sprat, PROCESS Frying",22,893.298
,"Sprat, PROCESS Steaming",8.5,685.548
,Squids,69,522.39
,"Squids, cuttlefishes, octopuses",69,522.39
,"Squids, cuttlefishes, octopuses, PROCESS Cooking in water",2,1
,"Squids, cuttlefishes, octopuses, PROCESS Frying",2,483.93
,"Squids, cuttlefishes, octopuses, PROCESS Steaming",2,1
,"Squids, PROCESS Cooking in water",2,1
,"Squids, PROCESS Frying",34.17,260.74
,"Squids, PROCESS Steaming",2,1
,Stockfish,157,467.439
,"Stockfish, PROCESS Baking",1.3,730.467
,"Stockfish, PROCESS Cooking in water",21.3,730.467
,"Stockfish, PROCESS Steaming",21.3,380.467
,Sturgeon,,593.1
,Sturgeon roe,13.45,442.043
,Tilapia,32,956.38
,Trouts,31,697.4
,"Trouts, PROCESS Baking",35,717.83
,"Trouts, PROCESS Cooking in water",37.9,719.51
,"Trouts, PROCESS Frying",30.71,900.018
,"Trouts, PROCESS Steaming",37.9,719.51
,Tuna and bonito (generic),61,702.46
,"Tuna and bonito (generic), PROCESS Baking",66.2,692.041
,"Tuna and bonito (generic), PROCESS Cooking in water",4.2,669.685
,"Tuna and bonito (generic), PROCESS Frying",46.5,692.041
,"Tuna and bonito (generic), PROCESS Steaming",4.5,683.92
,"Water snails, conches and whelks, PROCESS Cooking in water",65.8,523.4
,Whitefishes or coregonus,19.2,692.359
,"Whitefishes or coregonus, PROCESS Baking",3.5,743.012
,"Whitefishes or coregonus, PROCESS Cooking in water",3.5,739.991
,"Whitefishes or coregonus, PROCESS Frying",3.5,743.012
,"Whitefishes or coregonus, PROCESS Steaming",3.5,739.991
,Wolffish,59.7,517.543
,"Wolffish, PROCESS Baking",2.4,547.808
,"Wolffish, PROCESS Cooking in water",2.4,545.803
,"Wolffish, PROCESS Frying",2.4,547.808
,"Wolffish, PROCESS Steaming",2.2,520.847
,Wolffishes,59.7,517.543
,"Wolffishes, PROCESS Baking",2.4,547.808
,"Wolffishes, PROCESS Cooking in water",2.4,545.803
,"Wolffishes, PROCESS Frying",2.4,547.808
,"Wolffishes, PROCESS Steaming",2.2,520.847
Food products for young population,"Biscuits, rusks and cookies for children",6,891.1
,Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid,0.7,1446.3
,"Follow-on formulae, liquid",1.8,278.047
,"Follow-on formulae, powder",1.5,1795.38
,Fruit and vegetable juices and nectars specific for infants and young children,,0.3
,"Infant formulae, liquid",1.8,227.747
,"Infant formulae, powder",39.4,1156.18
,"Pasta for children (dry, to be cooked)",0,444.927
,Ready-to-eat cereal-based meal for children,1,253.66
,Ready-to-eat dairy-based meal for children,0,124.85
,Ready-to-eat fish-based meal for children,3,347.43
,Ready-to-eat fruit-based meal for children,1,219.03
,Ready-to-eat meat-based meal for children,1,304.06
,Ready-to-eat mixed meal for children,1.284,260.107
,Ready-to-eat vegetable-based meal for children,1,303.44
,Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids,4,831.98
Fruit and fruit products,American persimmons,0.8,222.912
,Apples and similar-,6,141.253
,"Apples and similar-, PROCESS Baking",6,116.195
,"Apples and similar-, PROCESS Cooking in water",6,165.842
,"Apples and similar-, PROCESS Steaming",6,165.842
,Apricots,4,318.283
,Arbutus berries,0.6,460.602
,Avocados,15,546.12
,Bilberries (European blueberries),12,122.29
,Blackberries,0,259.15
,Blackcurrants,31,493.473
,Blueberries,12,110.163
,"Candied fruit, cherry",1,95.365
,"Candied fruit, mixed fruit",,69.09
,"Candied fruit, orange peel",7,159.03
,Canned fruit cocktail,2,88.745
,"Canned fruit cocktail, MEDIUM In diluted sweet liquid-syrup",1,115.78
,"Canned fruit cocktail, MEDIUM In fruit/vegetable juice",1.1,126.148
,Canned or jarred apple,5.031,92.986
,"Canned or jarred apple, MEDIUM In diluted sweet liquid-syrup",3.212,68.705
,"Canned or jarred apple, MEDIUM In fruit/vegetable juice",3,68.672
,Canned or jarred apricot,5,183.91
,"Canned or jarred apricot, MEDIUM In diluted sweet liquid-syrup",2,183.738
,"Canned or jarred apricot, MEDIUM In fruit/vegetable juice",2.2,211.303
,Canned or jarred cranberry,8,129.365
,"Canned or jarred cranberry, MEDIUM In diluted sweet liquid-syrup",5.6,95.474
,"Canned or jarred cranberry, MEDIUM In fruit/vegetable juice",5,95.441
,Canned or jarred mandarin,3,81.559
,"Canned or jarred mandarin, MEDIUM In diluted sweet liquid-syrup",2,81.62
,"Canned or jarred mandarin, MEDIUM In fruit/vegetable juice",2,125.235
,Canned or jarred mixed fruit,2,88.745
,"Canned or jarred mixed fruit, MEDIUM In diluted sweet liquid-syrup",1,115.78
,"Canned or jarred mixed fruit, MEDIUM In fruit/vegetable juice",1.1,126.148
,Canned or jarred peach,2.5,130.985
,"Canned or jarred peach, MEDIUM In diluted sweet liquid-syrup",1.2,130.604
,"Canned or jarred peach, MEDIUM In fruit/vegetable juice",1,201.825
,Canned or jarred pear,0,92.862
,"Canned or jarred pear, MEDIUM In diluted sweet liquid-syrup",0,86.12
,"Canned or jarred pear, MEDIUM In fruit/vegetable juice",0,102.865
,Canned or jarred pineapple,0,132.853
,"Canned or jarred pineapple, MEDIUM In diluted sweet liquid-syrup",0,101.83
,"Canned or jarred pineapple, MEDIUM In fruit/vegetable juice",0,98.22
,Canned or jarred plum,6,102.952
,"Canned or jarred plum, MEDIUM In diluted sweet liquid-syrup",4,102.89
,"Canned or jarred plum, MEDIUM In fruit/vegetable juice",4,151.21
,Canned or jarred sour cherry,0,103.663
,"Canned or jarred sour cherry, MEDIUM In diluted sweet liquid-syrup",0.156,75.154
,"Canned or jarred sour cherry, MEDIUM In fruit/vegetable juice",0,75.154
,Canned or jarred sweet cherry,3,155.9
,"Canned or jarred sweet cherry, MEDIUM In diluted sweet liquid-syrup",2,155.61
,"Canned or jarred sweet cherry, MEDIUM In fruit/vegetable juice",1.3,139.646
,Carambolas,1,177.697
,Cherimoyas,1,322.85
,Cherries (sweet),3,255.013
,Chocolate coated dried fruit,7.9,478.119
,Chokecherries,2,812.61
,Citrons,0,160.118
,Citrus fruit peel,2,171.689
,Cloudberries,0.189,123.366
,Common banana,1,470.21
,"Common banana, PROCESS Baking",0.6,422.473
,"Common banana, PROCESS Cooking in water",0,308.385
,"Common banana, PROCESS Steaming",0,367.425
,Cranberries,0,127.287
,Dates,1,490.32
,Dewberries and similar-,0,347.3
,Dried apples,19,618.88
,Dried apricots,25,2170.957
,Dried bananas,0.9,615.422
,Dried dates,3,852.31
,Dried figs,1,1396.857
,Dried pears,21,907.798
,Dried prunes,42,898.65
,"Dried prunes, PROCESS Baking",40.5,911.558
,"Dried prunes, PROCESS Cooking in water",18,518.832
,"Dried prunes, PROCESS Steaming",17,518.765
,Dried vine fruits (raisins etc.),12,1183.81
,Elderberries,0,410.597
,Figs,0,269.527
,Fruit chips,18.641,614.296
,"Fruit compote, apple",3,154.65
,"Fruit compote, apricot",3,217.961
,"Fruit compote, mixed fruit",0.3,184.94
,"Fruit compote, peach",1,108.423
,"Fruit compote, pear",3,133.676
,"Fruit compote, pineapple",0,143.901
,"Fruit compote, plum",6,122.462
,"Fruit compote, sour cherry",0,94.259
,"Fruit compote, sweet cherry",2,203.821
,Fruit or fruit-vegetable puree,1,136.012
,Fruit preparations for fillings and/or flavouring,1,135.436
,Fruit salad,4,221.297
,Gooseberries and similar-,0,280.41
,Granate apples,0,294.77
,Grapefruits,4,252.87
,Guavas and similar-,1,282.637
,"Jam, apricots",1,86.493
,"Jam, apricots, SWEET Fructose",0,52.385
,"Jam, blackberries",0,70.543
,"Jam, blackberries, SWEET Fructose",2,103.695
,"Jam, blueberries",2,91.203
,"Jam, blueberries, SWEET Fructose",2,103.695
,"Jam, cranberries",0,91.203
,"Jam, cranberries, SWEET Fructose",2,103.695
,"Jam, currants (black)",6,70.543
,"Jam, currants (black), SWEET Fructose",2,103.695
,"Jam, currants (red)",2,70.543
,"Jam, currants (red), SWEET Fructose",2,103.695
,"Jam, gooseberries",0,91.203
,"Jam, gooseberries, SWEET Fructose",2,103.695
,"Jam, lingonberry",0,91.203
,"Jam, lingonberry, SWEET Fructose",2,103.695
,"Jam, mixed fruit",1,91.203
,"Jam, mixed fruit, SWEET Fructose",2.3,103.695
,"Jam, oranges",0,91.203
,"Jam, oranges, SWEET Fructose",0.3,78.257
,"Jam, peaches",1,86.493
,"Jam, peaches, SWEET Fructose",0,52.385
,"Jam, plums",2,86.493
,"Jam, plums, SWEET Fructose",0,52.385
,"Jam, raspberries",2,70.543
,"Jam, raspberries, SWEET Fructose",2,103.695
,"Jam, rose hips",17,149.85
,"Jam, rose hips, SWEET Fructose",2,103.695
,"Jam, sour cherry",0,91.203
,"Jam, sour cherry, SWEET Fructose",0,52.385
,"Jam, strawberries",1,70.76
,"Jam, strawberries, SWEET Fructose",2.3,103.712
,"Jam, sweet cherry",0,86.493
,"Jam, sweet cherry, SWEET Fructose",0,52.385
,Kaki and similar-,0.6,222.779
,"Kiwi fruits (green, red, yellow)",26,364.88
,Lemons,1,193.8
,Limes,3,183.18
,Lingonberries,0,122.147
,Litchis,0,207.353
,Loganberries,0,347.16
,Loquats,1,273.563
,Mandarins,0,200.076
,Mandarins and similar-,3,200.009
,Mangoes,2,224.99
,"Marmalade, oranges",1,71.063
,"Marmalade, oranges, SWEET Fructose",0.4,78.2
,Medlars,0.212,320.75
,Mixed dried fruits,10,1061.823
,Mulberries (black and white),0.6,362.4
,Oranges and similar-,1,229.24
,Papayas,2,214.99
,Passionfruits,1,309.67
,Peaches and similar-,3,199.44
,Pears and similar-,5,182.15
,"Pears and similar-, PROCESS Baking",6,125.131
,"Pears and similar-, PROCESS Cooking in water",6.2,157.076
,Pineapples,0,205.11
,"Pineapples, PROCESS Baking",1,224.257
,"Pineapples, PROCESS Cooking in water",0,163.177
,"Pineapples, PROCESS Steaming",0,194.207
,Plums and similar-,8,286.54
,Pomelos,0,283.96
,Prickly pears,0,349.37
,Quinces,0.326,240.677
,Raspberries (red and yellow),10,247.52
,Raspberries and similar-,10,247.52
,Redcurrants,11,361.233
,Rose hips and similar-,92.2,919.266
,Sea buckthorns,0.1,218.937
,Sour cherries,1,291.167
,Strawberries and similar-,5,211.65
,Table grapes,10,249.277
,Tamarillos,0.3,388.073
,Tangelos (except minneolas),3.251,146.612
,Wine grapes,9.2,237.664
Fruit and vegetable juices and nectars,Dehydrated/powdered vegetable juice,0,3821.371
,Fruit smoothies,4,206.022
,"Juice concentrate, black currant",3,114.187
,"Juice concentrate, orange",0.042,133.776
,"Juice concentrate, raspberry",,0.4
,"Juice concentrate, sweet cherry",,0.25
,"Juice, apple",0,128.477
,"Juice, apple-carrot",10,164.322
,"Juice, apple-cherry",0,172.856
,"Juice, apple-cherry, FORT Combination of vitamin and mineral only supplements",1.5,226.2
,"Juice, apple, FORT Vitamin only supplements",6,144.499
,"Juice, apricot",3,289.298
,"Juice, apricot-orange",2,173.127
,"Juice, apricot-orange, FORT Combination of vitamin and mineral only supplements",1.5,226.2
,"Juice, beetroot",5,345.538
,"Juice, black currant",0.3,238.928
,"Juice, blackberry",0,238.92
,"Juice, carrot",17,290.94
,"Juice, celery",43,526.573
,"Juice, cranberry",0,238.813
,"Juice, elderberry",0,382.5
,"Juice, grape",1,96.733
,"Juice, grapefruit",4,133.81
,"Juice, lemon",1,152.57
,"Juice, lime",4,132.469
,"Juice, mango",0.1,63.614
,"Juice, mixed fruit",1,172.856
,"Juice, multi-vegetable",13.208,237.779
,"Juice, orange",1,227.05
,"Juice, orange-grapefruit",0,172.856
,"Juice, orange-grapefruit, FORT Combination of vitamin and mineral only supplements",1.5,226.2
,"Juice, orange-peach",0,172.856
,"Juice, orange-peach, FORT Combination of vitamin and mineral only supplements",1.5,226.2
,"Juice, orange, FORT Vitamin only supplements",0.15,219.693
,"Juice, peach",2,202.369
,"Juice, pear",6,19.01
,"Juice, pineapple",0,68.77
,"Juice, pomegranate",0,215.5
,"Juice, red currant",11,238.762
,"Juice, strawberry-cherry",0,172.856
,"Juice, strawberry-cherry, FORT Combination of vitamin and mineral only supplements",1.5,226.2
,"Juice, tomato",4,271.47
,"Juice, tomato-leafy vegetables",8.2,237.5
,Mixed fruit nectars,2,119.742
,Mixed vegetable juice,13.208,237.779
,Multivitamin juices,2.5,217.19
,"Multivitamin juices, FORT Combination of vitamin and mineral only supplements",3,137.888
,"Multivitamin juices, FORT Vitamin only supplements",2.5,217.19
,"Nectar, apple",4,119.607
,"Nectar, apricot",2,119.76
,"Nectar, banana",0,101.593
,"Nectar, mango",1,119.712
,"Nectar, orange",1,119.607
,"Nectar, peach",2,119.8
,"Nectar, pear",4,119.555
,"Nectar, pineapple",1,119.6
,Vegetable juice concentrate,24,349.485
Grains and grain-based products,Amaranth flour,1,1317.461
,Apple strudel,4.14,240.611
,Asian-style noodles other than glass noodles,20,538.89
,"Asian-style noodles other than glass noodles, PROCESS Cooking in water",1,124.31
,"Asian-style noodles other than glass noodles, PROCESS Steaming",1,69.31
,Baklava,11.2,237.057
,Barley flour,2,1058.58
,"Barley grain, pearled",2,576.457
,"Barley grain, pearled, PROCESS Cooking in water",2.2,195.637
,"Barley grain, pearled, PROCESS Steaming",2.2,195.637
,Barley porridge,0.17,315.52
,"Barley porridge, INGRED Cow milk, skimmed (low fat)",0.17,315.52
,"Barley porridge, INGRED Cow milk, whole",3.4,358.8516
,"Barley porridge, INGRED Tap water",1.3,116.0404
,Barley rolled grains,2,766.89
,Beignets,7.6,200.735
,"Biscuit with inclusions, filling or coating",11,326.48
,"Biscuits, chocolate",8.2,566.26
,"Biscuits, oat meal",26.4,553.45
,"Biscuits, sweet, plain",8.3,271.67
,"Biscuits, sweet, plain, FORT Combination of vitamin and mineral only supplements",8.04,1288.65
,"Biscuits, sweet, plain, FORT Vitamin only supplements",6.04,549.53
,"Biscuits, sweet, wheat wholemeal",10,385.58
,Bread and rolls with special ingredients added,4,451.42
,"Bread and rolls with special ingredients added, FORT Protein and amino acids supplements",0.1,490.824
,Bread stuffing,2.3,353.76
,Breadcrumbs,5,466.79
,Brioche type products,,
,Buckwheat flour,16,491.53
,Buckwheat groats,9,458.017
,Buns,3.3,458.99
,Butter biscuits,3.05,263.685
,"Cake marbled, with chocolate",6.1,497.258
,Cereal bars mixed,18.2,828.63
,Cereal bars plain,16,1033.239
,Cereal bran,2,2994.51
,Cereals and cereal-like grains not separately listed,30,858.377
,Chapatti flour,3,461.84
,Cheese cake,5.5,228.69
,Chocolate cake,5.6,430.547
,Chocolate cake with fruits,5.3,375.375
,Choux pastry doughs,6.6,216.142
,"Choux pastry doughs, PROCESS Baking",9,331.172
,Common millet and similar-,3,716.49
,"Common millet and similar-, PROCESS Cooking in water",1,244.996
,"Common millet and similar-, PROCESS Steaming",1,244.996
,Common wheat grain,5,307.21
,Corn chips,3.18,707
,Corn curls,3,348.126
,Corn semolina based thick soup,0,20.488
,Cornmeal porridge,0,156.348
,"Cornmeal porridge, INGRED Cow milk, whole",3.3,391.2405
,"Cornmeal porridge, INGRED Tap water",0,156.348
,Couscous,0,410.03
,"Couscous, PROCESS Cooking in water",0,97.557
,"Couscous, PROCESS Steaming",0,97.557
,Crackers and breadsticks,6,372.9
,Cream cake,6.4,249.79
,Cream cheese cake,4.5,228.69
,Cream custard cake,10.42,321.87
,Cream-cheese strudel,4.5,322.995
,"Crisp bread, rye wholemeal",8,966.35
,"Crisp bread, rye, refined flour",11.6,1006.076
,"Crisp bread, wheat, refined flour",2,655.45
,"Crisp bread, wheat, wholemeal",2,1053.43
,Croissant,8,319.6
,Croissant from puff pastry,22,319.6
,"Croissant, filled with chocolate",7.07,348.697
,"Croissant, filled with cream",,157.59
,"Croissant, filled with jam",,135.41
,Croquembouche,19.01,264.71
,Croutons,4,275.687
,Doughnuts-berliner,,
,Dried egg pasta,0,446.477
,"Dried egg pasta, PROCESS Baking",0,157.911
,"Dried egg pasta, PROCESS Cooking in water",15.76,184.024
,"Dried egg pasta, PROCESS Steaming",0,184.024
,"Dumpling, sweet",2.3,290.467
,Durum wheat grain,5,311.92
,"Durum wheat grain, PROCESS Baking",0,290.964
,"Durum wheat grain, PROCESS Cooking in water",1.6,290.988
,"Durum wheat grain, PROCESS Steaming",1.6,290.988
,�clair,7,392.09
,"Extruded, pressed or puffed bread",,329.26
,Flan tart,6,160.45
,Flour mix (like wheat/rye/barley/oats and other),9.5,494.76
,Fresh egg pasta,24,338.637
,"Fresh egg pasta, PROCESS Baking",0,157.911
,"Fresh egg pasta, PROCESS Cooking in water",13,195.27
,"Fresh egg pasta, PROCESS Steaming",13,195.27
,Fruit cake,5.3,654.28
,Fruit pie-tarts,7.08,260.21
,Gingerbread,2.4,295.46
,"Gingerbread dough, PROCESS Baking",2.4,292.94
,"Gluten free bread, brown",1,759.79
,"Gluten free bread, white",0,483.833
,Gnocchi,2.1,242.872
,"Gnocchi, PROCESS Baking",2.1,225.742
,"Gnocchi, PROCESS Cooking in water",7.1,197.485
,"Gnocchi, PROCESS Steaming",2.1,213.654
,Gougere,13.81,300.108
,Graham flour,6.76,835.91
,Indian rice grain,2,1076.446
,"Indian rice grain, PROCESS Cooking in water",1.8,365.056
,"Indian rice grain, PROCESS Steaming",1.8,365.056
,Ingredient rich fine dough without yeast,3.5,272.017
,"Ingredient rich fine dough without yeast, PROCESS Baking",7.5,272.017
,Kringles,9.1,379.93
,Laminated doughs,3,198.657
,"Laminated doughs, PROCESS Baking",3,126.433
,Leavened bread doughs-deprecated,2.2,285.333
,"Leavened bread doughs-deprecated, PROCESS Baking",31,341.83
,"Leavened bread doughs-deprecated, PROCESS Cooking in water",1.2,217.967
,"Leavened bread doughs-deprecated, PROCESS Steaming",0,428.977
,Lebkuchen,18.4,526.435
,Macaroons,2,680.95
,Maize flour,3.2,540.323
,Maize semolina,0,181.592
,"Maize semolina, PROCESS Baking",15,196.761
,"Maize semolina, PROCESS Cooking in water",15,196.809
,"Maize semolina, PROCESS Steaming",15,196.809
,Maize starch,0,56.933
,Marzipan pie,4.3,425.32
,Matzo,0,307.76
,Meringue,4.1,134.28
,Meringue tart,2.14,156.47
,Millet flour,3,832.297
,Millet groats,3,947.18
,Millet rolled grains,1,947.18
,Miscellaneous mixed and processed breakfast cereals-deprecated,16.9,683.43
,Mixed breakfast cereals,10.8,878.442
,Mixed cereal rolled grains,0,767.94
,Mixed cereal-based snacks,5.683,517.05
,Muesli plain,4,938
,Muffins,7.5,635.996
,Multigrain (not only rye-wheat) bread and rolls,9,484.697
,"Noodle, rice",15.1,66.683
,"Noodle, rice, PROCESS Cooking in water",5.8,85.6598
,"Noodle, rice, PROCESS Steaming",5.8,85.6598
,Nut cream cake,5.5,546.661
,Oat bran,1,857.86
,Oat flour,12.6,873.508
,Oat groats,10,930.917
,Oat high-bran flakes,0,883.243
,Oat porridge,8,905
,"Oat porridge, INGRED Cow milk, skimmed (low fat)",3.5,428.0051
,"Oat porridge, INGRED Cow milk, whole",6.9,500.09
,"Oat porridge, INGRED Tap water",17,115.081
,Oat rolled grains,3,929.217
,"Oat rolled grains, instant",3,906.577
,Pancakes,4.8,397.91
,Pasta flavoured and/or/coloured-deprecated,82.8,449.687
,Pasta wholemeal,16,889.54
,"Pasta wholemeal, PROCESS Baking",0,324.421
,"Pasta wholemeal, PROCESS Cooking in water",6,309.89
,"Pasta wholemeal, PROCESS Steaming",6,309.89
,Pasta with egg-deprecated,,0.3
,"Pasta, gluten free",2.4,125.378
,"Pasta, gluten free, PROCESS Cooking in water",0,20.414
,"Pasta, gluten free, PROCESS Steaming",0,20.997
,"Pasta, simple-deprecated",17,532.74
,"Pasta, simple-deprecated, PROCESS Baking",0,140.897
,"Pasta, simple-deprecated, PROCESS Cooking in water",5,92.5
,"Pasta, simple-deprecated, PROCESS Steaming",1,159.236
,Pita bread,2,444.783
,"Pizza base, cooked",3,185.794
,"Popcorn (maize, popped)",1,487.386
,Popcorn kernels,5.37,621.2
,Popped cereals,4.9,892.48
,Pretzels,1,335.743
,Processed and mixed breakfast cereals,13.1,882.934
,Processed barley-based flakes,1,439.87
,Processed maize-based flakes,5.9,183.63
,Processed mixed cereal-based flakes,113,858.2
,Processed oat-based flakes,7.7,952.9
,Processed rice-based flakes,2.7,652.13
,Processed rye-based flakes,2,1088.783
,Processed wheat-based flakes,16.7,2517.04
,Profiterole,5.3,392.21
,Pumpernickel,1,545.95
,Pyramid cake,7,310.128
,Rice and similar-,,0.32
,Rice chips,8,285.207
,Rice flour,3,424.12
,"Rice grain, brown",10,692.92
,"Rice grain, brown, PROCESS Baking",0,89.028
,"Rice grain, brown, PROCESS Cooking in water",4,269.936
,"Rice grain, brown, PROCESS Steaming",4,269.936
,"Rice grain, long-grain",14,392.1
,"Rice grain, long-grain, PROCESS Cooking in water",5,139.62
,"Rice grain, long-grain, PROCESS Steaming",5,139.62
,"Rice grain, mixed",11,667.01
,"Rice grain, mixed, PROCESS Cooking in water",4,270.83
,"Rice grain, mixed, PROCESS Steaming",9.2,88.995
,"Rice grain, parboiled",14,391.81
,"Rice grain, parboiled, PROCESS Cooking in water",5,139.888
,"Rice grain, parboiled, PROCESS Steaming",5,139.888
,"Rice grain, polished",11,233.78
,Rice porridge,2.29,353.168
,"Rice porridge, INGRED Cow milk, skimmed (low fat)",4.6,341.4432
,"Rice porridge, INGRED Cow milk, whole",2.29,352.607
,Rice rolled grains,1,265.625
,Rice starch,0,58.363
,"Rice, popped",10,785.7
,"Rusk, refined flour",10,890.4
,"Rusk, wholemeal",2,1221.07
,Rye bran,2.8,2014.92
,"Rye bread, refined flour",5.83,487.61
,"Rye bread, wholemeal",3,522.191
,"Rye flour, light",1,436.278
,"Rye flour, medium",0,999.49
,"Rye flour, wholemeal",3,905.29
,Rye groats,2.8,923.225
,Rye porridge,0.4,127.0412
,"Rye porridge, INGRED Cow milk, whole",2.8,381.4978
,"Rye porridge, INGRED Tap water",0.4,108.4323
,Rye rolled grains,2,1088.783
,Rye starch,1,186.88
,"Rye-wheat bread, refined flour",3,403.885
,"Rye-wheat bread, wholemeal",6,533.31
,Scones and similar,2.3,878.94
,Short pastry dough and similar,4.2,267.4
,"Short pastry dough and similar, PROCESS Baking",1.1,309.72
,Sorghum flour,1,831.867
,Speculaas,6,308.775
,Spelt flour,23.5,297.392
,"Spelt flour, wholemeal",0,830.114
,Spelt grain,0,1016.835
,"Spelt grain, PROCESS Baking",0,290.889
,"Spelt grain, PROCESS Cooking in water",0,290.988
,"Spelt grain, PROCESS Steaming",0,290.988
,Spelt rolled grains,0,1016.835
,Spice cakes,8.65,146.696
,Sponge cake,13,423.923
,"Sponge cake dough (g�noise), PROCESS Baking",15.71,282.666
,"Sponge cake dough (g�noise), PROCESS Steaming",6,265.467
,Sponge cake roll,10.1,394.28
,"Sticks, salty",5,346.06
,Sweet almond pastry mass,3.16,922.987
,"Sweet almond pastry mass, PROCESS Baking",2.2,660.93
,Tortilla,2,330.267
,Tortilla chips,3,707
,"Unleavened doughs, PROCESS Baking",5,445.364
,Waffles,8,863.05
,Wheat bran,12.4,3058.27
,Wheat bran rolled flakes,13.1,869.541
,"Wheat bread and rolls, brown or wholemeal",6,613.04
,"Wheat bread and rolls, white (refined flour)",0,345.43
,"Wheat bread and rolls, white with maize",5,330.765
,Wheat flour white,2,427.14
,"Wheat flour, brown",4,703.38
,"Wheat flour, durum",5,286.91
,Wheat germ,3,2389.23
,Wheat germs rolled flakes,4.12,2459.15
,Wheat groats,7,762.912
,Wheat rolled grains,0,867.106
,Wheat semolina,1,335.163
,"Wheat semolina porridge, INGRED Cow milk, whole",2.28,327.179
,"Wheat semolina porridge, INGRED Tap water",16,36.584
,"Wheat semolina, PROCESS Cooking in water",,51
,"Wheat semolina, PROCESS Steaming",,119
,Wheat starch,0,40.227
,Wheat wholemeal flour,6,835.91
,"Wheat, popped",3.1,924.32
,Yeast leavened sweet doughs,0,279.137
,"Yeast leavened sweet doughs, PROCESS Baking",3.4,479.29
Human milk,Human milk,0.04,
"Legumes, nuts, oilseeds and spices",Allspice fruit,5,1953.16
,Almonds sweet,2,1878.79
,"Almonds sweet, PROCESS Baking",4,1899.545
,"Almonds sweet, PROCESS Cooking in water",0,1248.813
,"Almonds sweet, PROCESS Steaming",0,1248.813
,Anise seed,5,2748.527
,Azuki beans (dry),2,1832.146
,"Azuki beans (dry), PROCESS Baking",0,2256.925
,"Azuki beans (dry), PROCESS Cooking in water",1,856.65
,"Azuki beans (dry), PROCESS Steaming",1,856.65
,Beans (dry) and similar-,16,2048.357
,"Beans (dry) and similar-, PROCESS Baking",0,671.718
,"Beans (dry) and similar-, PROCESS Cooking in water",6,638.815
,"Beans (dry) and similar-, PROCESS Steaming",6,638.815
,Beans (fresh seeds without pods) and similar-,0,493.61
,"Beans (fresh seeds without pods) and similar-, PROCESS Cooking in water",2.7,333
,"Beans (fresh seeds without pods) and similar-, PROCESS Steaming",2.7,333
,Bitter almonds,2,2072.117
,Borage seeds,0,675.1
,Borlotti or other common beans (dry),9,269.18
,"Borlotti or other common beans (dry), PROCESS Baking",0,671.718
,"Borlotti or other common beans (dry), PROCESS Cooking in water",2,276.225
,"Borlotti or other common beans (dry), PROCESS Steaming",2,276.225
,Broad beans (dry),2.5,1987.62
,"Broad beans (dry), PROCESS Baking",0,671.598
,"Broad beans (dry), PROCESS Cooking in water",1.8,333
,"Broad beans (dry), PROCESS Steaming",1.8,333
